term	paraphrase
antirétroviraux	atazanavir [52] , indinavir [53] , nelfinavir [54]
dysautonomique	troubles de la sudation , troubles fonctionnels intestinaux et vésicaux , syndrome sec , troubles visuels , bouffées de chaleur , hypotension orthostatique
existence d'activités des fibres nociceptives d'origine ectopique	générées à distance du segment initial de l'axone
éphaptique	transmises d'une fibre adjacente en un point quelconque de l'axone
infection extra-articulaire	génitale et/ou digestive
endoscopie	les examens digestifs
PM/DM	polymyosite/dermatomyosite
SAPL	syndrome des antiphospholipides
AJI	arthrite juvénile idiopathique
sd VKH	syndrome de Vogt-Koyanagi-Harada
Dc	diagnostic
MAI	maladie auto-immune
respiratoire chronique	asthme , bronchopneumopathie chronique obstructive
CINCA	chronic , infantile , neurological , cutaneous and articular
NOMID	Neonatal infantile Onset Multisystem Inflammatory Disease
autoAc non spécifiques (	facteurs rhumatoïdes , antinucléaires , antiphospholipides
épaississement de l' interstitium pulmonaire périlobulaire	épaississement régulier nodulaire ou irrégulier des septa et distorsion du lobule pulmonaire ou des bronchiectasies de traction
intralobulaire	opacités linéaires entrecroisées en une fine réticulation et/ou aspect de verre dépoli
concentration de l' antibiotique est supérieure à la CMI du germe	antibiotique dit temps dépendant
lésion préexistante pulmonaire	M. xenopi ou M. avium sur tuberculose ou dilatation des bronches
matériel prothétique	prothèses
neurochirurgicaux	stimulation cérébrale profonde
divers métaux	mercure , cuivre , zinc , aluminium , manganèse
HVA	4-hydroxy-3-méthoxyphenylacetique acide , Sigma
DOPAC	3 ,4 dihydroxyphenylacetique acide Sigma
physiologie neuronale	la régulation locale de la synthèse protéique
de Bloom	échange d' ADN trop fréquent amenant à un retard de croissance et de nombreux cancers
moelle épinière	myélite
médiateur inflammatoire	NF, IL1 , PAF , MMPs , TGF?1 , caspases
trouble cognitif	mémoire , attention
trouble de l' identité	psychose infantile
vitamine B3 ou niacine	appelé aussi la vitamine PP pour pellagra-preventing factor
manifestations associées aux atteintes d'organes extrathoraciques	par exemple uvéite , syndrome sec ou sarcoïdes cutanées
antifongique	l' itraconazole (ITZ) et l' amphotéricine B (AMB)
compartiments légèrement acides (pH 6 ,2) riches en tétraspanines	CD81 , CD82 , CD9 et partiellement CD63
ter	le terminus de réplication
sommeil Non-REM	appelés sommeil sans phase de mouvements oculaires rapides
neurorétinite	c'est-à-dire une papillite associée à une étoile maculaire
BPCO	bronchopneumopathie chronique obstructive
CSI	corticostéroïde inhalé
DEP	débit expiratoire de pointe
HTAP	hypertension artérielle pulmonaire
IgE	immunoglobulines E
MPR	médecin spécialiste en médecine physique et de réadaptation
OLD	oxygénothérapie de longue durée
TDM	tomodensitométrie
VNI	ventilation non invasive
parasomnies du sommeil paradoxal	trouble du comportement du sommeil paradoxal , paralysie du sommeil
MNA	Mini Nutritional Assessment
Mini-GDS	Mini-Geriatric Depression Scale
MMSE	Mini-Mental State Examination
manifestations fonctionnelles	troubles du sommeil , céphalée , points douloureux , seuil de douleur abaissé , fatigue générale , troubles digestifs , anxiété générale , dépression
secondaire	prévention de l' apparition des signes/maladies allergiques en rapport avec une sensibilisation déjà présente ou prévention de l' asthme chez un enfant présentant une rhinite allergique ou un eczéma
tertiaire	prévention des manifestations allergiques ou de leur aggravation chez des patients ayant déjà une maladie allergique
parasomnies du sommeil paradoxal	troubles du comportement du sommeil paradoxal , paralysie du sommeil
protéine	appelé pyrine
liens	appelé Linking number
sibling	c'est-à-dire frères ou sœurs
formes « périphériques »	caractérisé par une atteinte axiale , un amaigrissement important et la survenue rapide d' une insuffisance respiratoire , soit par un déficit distal des membres inférieurs de type pseudopolynévritique (forme de Patrikios) , ou bien encore par un déficit proximal des membres supérieurs (flail arm syndrome)
bactérie intracellulaire	comme Listeria monocytogenes
processus cellulaire	comme notamment l' apoptose , la régulation du cycle cellulaire , mais aussi la réparation de l' ADN
processus cellulaire	l' apoptose , la régulation du cycle cellulaire , mais aussi la réparation de l' ADN
maladie de Kawasaki	correspond correspond sur le plan nosologique à une vascularite des vaisseaux de moyen calibre affectant avec prédilection l'enfant d'âge préscolaire
MP	décrit ... sous le nom de shaking palsy (paralysie agitante)
présence d'un déficit neurosensorie	définie l'existence d'un déficit auditif ou visuel , lors de l'examen médical d'entrée
modérée	définie usqu'à 130 mmol/L
uvéite antérieure chronique (durée supérieure à trois mois) granulomateuse	définie des précipités rétrocornéens larges , typiquement « en graisse de mouton » ou des nodules iriens , véritables granulomes histologiquement prouvés
affection organiques	d'ordre rhumatologique , hormonale , neurologique voire métabolique
sclérose latérale amyotrophique	est la l' affection la plus fréquente des maladies du neurone moteur
fissure	est une image d' addition linéaire de moins de 1 mm de largeur
MP	est une pathologie d' hypo-motricité
trichotiodystrophie	est une maladie autosomale récessive
narcolepsie	est une cause fréquente de somnolence chronique caractérisée par l' intrusion dans l' état d' éveil d' aspects physiologiques du sommeil paradoxal
amylose AL	et les autres atteintes glomérulaires
processus cellulaire	notamment l' apoptose , la régulation du cycle cellulaire , mais aussi la réparation de l' ADN
névralgie du trijumeau	notamment douleurs notamment faciales
alkylation des bases	ou l' ajout d' une chaine alkylée
sommeil Non-REM	ou sommeil lent
maladie des chaînes légères	ou light chain deposition disease
Spondylarthrite ankylosante	ou uvéite
Spondylarthrite ankylosante	ou arthrite réactionnelle
pyrine	ou marénostrine
splénomégalie myéloïde	ou myélofibrose primitive
comprimé gastro-résistant	par exemple Dépakine® , Dépamide® , Inexium®
imagerie corrélative	par exemple la TDM  pour la quantification et la localisation anatomique  , l'IRM , la spectroscopie par résonance magnétique
spondylarthropathie	regroupent la spondylarthrite ankylosante (SPA) ou pelvispondylite rhumatismale (PSR) , le syndrome de Reiter et les arthrites réactionnelles (AR) , le rhumatisme psoriasique (RP) et les manifestations articulaires des entérocolopathies inflammatoires chroniques (maladie de Crohn et rectocolite ulcérohémorragique)
compartiment légèrement acide (pH 6 ,2) riche en tétraspanine	telle que CD81 , CD82 , CD9 et partiellement CD63
sérines-protéases	telle que la thrombine (facteur IIa) et le facteur Stuart (facteur Xa)
comorbidité	tels que l'insuffisance rénale mais aussi les troubles cognitifs et psychiatriques graves , les associations médicamenteuses qui potentialisent l'activité des sulfamides hypoglycémiants , la polymédication ainsi que l'alcool
facteurs de croissance	tels que la thrombopoïétine par l' héparine
antibiotique dit temps dépendant	tels que la vancomycine et les bêtalactamines
facteurs de croissance	thrombopoïétine par l' héparine
virale	EBV , HSV
antithrombine	inhibiteur physiologique naturel de la plupart des sérines-protéases
imagerie corrélative	TDM (pour la quantification et la localisation anatomique) , l'IRM , la spectroscopie par résonance magnétique
MEFV	ME pour mediterranean et FV pour fever
antifongique	itraconazole (ITZ) et l' amphotéricine B (AMB)
maladie de Parkinson	affection neurodégénérative la plus répandue , après la maladie d' Alzheimer
maladie autosomale récessive	Syndrome de Cockayne et le Xeroderma pigmentosum
forme « bulbaire »	troubles articulatoires et une dysphagie , et une association plus fréquente de troubles cognitifs
MIRS 2	signes modérés
MIRS 3	atteinte de la musculature distale
MIRS 4	atteinte proximale légère à modérée
MIRS 5	atteinte proximale sévère
capacité pulmonaire totale	pour centCPT
CSI	orticostéroïde inhalé
GINA	Global Initiative for Asthma
trouble sexuel varié	diminution de la libido, des trouble de l'éjaculation ou de l'érection
cécité légale	acuité visuelle<1/10e
rhumatisme	chondrocalcinose , hyperostose de Forestier
fibrome , malformation , synéchie , hypoplasie , béance du col	Anomalie morphologique de l' utérus dépistée par hystérographie après la gestation
hémorragie utérine	métrorragie
altération de l' état général	amaigrissement , perte de l' appétit , fatigue
Cancer différencié	papillaire , vésiculaire ou folliculaire , trabéculo-vésiculaire
rectite	microbiennes , parasitaires , Crohn , rectocolite hémorragique
trouble urinaire	rétention d' urine ou incontinence
trouble mictionnel	brûlures en urinant , fréquence normale des mictions
Altération de l' état général	fatigue , amaigrissement , perte de l' appétit
Cancer	rétinoblastome
symptôme neurologique	crises d' épilepsie , troubles de la vigilance
affection des vaisseaux sanguins	malformation vasculaire , AVC, hémorragie méningée , maladie de Horton
trouble digestif	nausées , vomissements
trouble de la réfraction oculaire	problème visuel
binoculaire	des 2 yeux
atteinte du cervelet	syndrome cérébelleux
diarrhée liquide en jet	plusieurs litres par jour
TSH	traitement hormonal substitutif
maladie liée à l'athérosclérose	artérite des membres inférieurs , angine de poitrine , infarctus du myocarde , accident vasculaire cérébral , insuffisance rénale
hypothyroïdie	L' insuffisance thyroïdienne
thalassémie	anémies congénitales avec une anomalie caractéristique de synthèse d' une partie de l' hémoglobine
alglucosidase alpha	une enzyme recombinante
innervation motrice	atteinte de l'unité motrice
enzyme recombinante	alglucosidase alpha
hépatomégalie	un foie anormalement gros
arythmie	atteinte cardiaque
dysmorphie	malformations
trouble de la marche	retard à l'acquisition de la marche, chutes, déficit des muscles releveurs des pieds qui entraînent un steppage
activité physique	monter un escalier, soulever une charge lourde
ostéoporose	maladie des os
maladie chronique	maladies à long terme
salpingite	une infection aiguë des trompes
fibrose	perte d' élasticité
maladie infectieuse	varicelle , herpès
cystite	inflammation de la vessie
médecines dites « douces » ou « complémentaires »	homéopathie , acupuncture , phytothérapie , techniques de relaxation
